Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Atanasov Martin,22,69,208.0,69.0,234.0,15.0,68.0,22.0,-23.0,305.0,36.0,121.0,69.0,226.0,11.0,385.0,26.0,33.0,178.0,462.0,39.0,15.0,22.0,,2025/2026,MIVER
Beretta Thomas,22,77,122.0,52.0,202.0,7.0,34.0,9.0,-13.0,17.0,,11.0,2.0,118.0,12.0,134.0,4.0,8.0,71.0,530.0,50.0,44.0,57.0,,2025/2026,MIVER
Ciampi Lorenzo,3,3,1.0,,3.0,,1.0,,-33.0,,,,,,,1.0,,,1.0,1000.0,100.0,,,,2025/2026,MIVER
Frascio Diego,18,44,36.0,12.0,59.0,5.0,21.0,11.0,-27.0,3.0,1.0,1.0,1.0,333.0,,64.0,6.0,5.0,28.0,437.0,34.0,3.0,7.0,,2025/2026,MIVER
Knipe Aidan,3,5,1.0,1.0,5.0,1.0,,20.0,20.0,,,,,,,1.0,,,,,,,,,2025/2026,MIVER
Larizza Jacopo,16,40,46.0,14.0,110.0,2.0,16.0,5.0,-13.0,13.0,2.0,2.0,3.0,231.0,8.0,55.0,,3.0,32.0,582.0,58.0,12.0,30.0,,2025/2026,MIVER
Mapelli Nicolò,3,3,2.0,,3.0,,1.0,,-33.0,,,,,,,2.0,,,2.0,1000.0,100.0,,,,2025/2026,MIVER
Marttila Luka,13,33,79.0,26.0,104.0,4.0,25.0,12.0,-20.0,133.0,6.0,56.0,35.0,263.0,22.0,164.0,12.0,14.0,72.0,439.0,37.0,3.0,9.0,,2025/2026,MIVER
Mosca Leandro,22,72,115.0,49.0,222.0,7.0,11.0,10.0,-2.0,8.0,,6.0,2.0,250.0,25.0,134.0,3.0,8.0,68.0,507.0,49.0,40.0,56.0,,2025/2026,MIVER
Padar Krisztian,19,67,268.0,87.0,231.0,22.0,70.0,33.0,-21.0,20.0,3.0,9.0,5.0,250.0,10.0,445.0,29.0,39.0,220.0,494.0,43.0,26.0,39.0,,2025/2026,MIVER
Pisoni Alessandro,5,12,,,,,,,,52.0,3.0,26.0,15.0,288.0,23.0,,,,,,,,,,2025/2026,MIVER
Rohrs Erik,19,65,215.0,74.0,193.0,12.0,51.0,18.0,-20.0,332.0,39.0,160.0,58.0,175.0,6.0,400.0,27.0,36.0,179.0,447.0,38.0,24.0,37.0,,2025/2026,MIVER
Scanferla Leonardo,22,76,,,,,,,,413.0,37.0,203.0,91.0,220.0,13.0,,,,,,,,,,2025/2026,MIVER
Velichkov Zhasmin,18,50,105.0,37.0,122.0,6.0,17.0,12.0,-9.0,165.0,16.0,48.0,51.0,309.0,21.0,173.0,15.0,13.0,82.0,474.0,39.0,17.0,34.0,,2025/2026,MIVER
Zimmermann Jan,22,80,30.0,13.0,285.0,7.0,16.0,9.0,-3.0,7.0,1.0,6.0,,,-14.0,31.0,4.0,3.0,14.0,452.0,32.0,9.0,11.0,,2025/2026,MIVER
Team Totals,22,80,1228.0,434.0,1773.0,88.0,331.0,110.0,-14.0,1468.0,144.0,649.0,332.0,226.0,13.0,1989.0,126.0,162.0,947.0,476.0,41.0,193.0,241.0,,2025/2026,MIVER
