Player_Player,Played Matches_Played Matches,Played Set_Played Set,POINTS_Tot,POINTS_BP,SERVE_Tot,SERVE_Ace,SERVE_Err.,SERVE_Ace per Set,SERVE_Effic.,RECEPTION_Tot,RECEPTION_Err.,RECEPTION_Neg.,RECEPTION_Exc.,RECEPTION_Exc. %,RECEPTION_Effic.,ATTACK_Tot,ATTACK_Err.,ATTACK_Blocked,ATTACK_Exc.,ATTACK_Exc. %,ATTACK_Effic.,BLOCK_Exc.,BLOCK_Points per Set,BLOCK,Temporada,ID_Equipo
Barbanti Leonardo,9,24,7.0,3.0,59.0,1.0,2.0,4.0,-2.0,,,,,,,7.0,1.0,,4.0,571.0,43.0,2.0,8.0,,2025/2026,MI-POWER
Benacchio Alessandro,4,5,,,2.0,,2.0,,-100.0,,,,,,,,,,,,,,,,2025/2026,MI-POWER
Caneschi Edoardo,22,79,159.0,65.0,289.0,29.0,70.0,37.0,-14.0,17.0,1.0,3.0,5.0,294.0,24.0,163.0,13.0,9.0,99.0,607.0,53.0,31.0,39.0,,2025/2026,MI-POWER
Catania Damiano,21,76,,,,,,,,376.0,32.0,153.0,96.0,255.0,17.0,,,,,,,,,,2025/2026,MI-POWER
Corbetta Jacopo,5,13,,,,,,,,43.0,6.0,24.0,6.0,140.0,,,,,,,,,,,2025/2026,MI-POWER
Di Martino Gabriele,20,63,85.0,29.0,177.0,2.0,13.0,3.0,-6.0,5.0,1.0,3.0,1.0,200.0,,110.0,3.0,4.0,55.0,500.0,47.0,28.0,44.0,,2025/2026,MI-POWER
Ichino Tommaso,14,38,53.0,19.0,91.0,3.0,15.0,8.0,-13.0,139.0,23.0,57.0,26.0,187.0,2.0,97.0,4.0,8.0,43.0,443.0,40.0,7.0,18.0,,2025/2026,MI-POWER
Kreling Fernando,18,64,26.0,17.0,256.0,12.0,26.0,19.0,-5.0,5.0,,5.0,,,,20.0,1.0,,11.0,550.0,50.0,3.0,5.0,,2025/2026,MI-POWER
Lindqvist Veikka,18,40,10.0,4.0,7.0,1.0,4.0,2.0,-43.0,2.0,,2.0,,,,18.0,4.0,1.0,7.0,389.0,17.0,2.0,5.0,,2025/2026,MI-POWER
Masajedi Karen,5,9,5.0,1.0,14.0,,5.0,,-36.0,18.0,5.0,9.0,,,-28.0,22.0,4.0,4.0,4.0,182.0,,1.0,11.0,,2025/2026,MI-POWER
Masulovic Nemanja,17,44,43.0,19.0,82.0,5.0,2.0,11.0,4.0,16.0,1.0,8.0,3.0,187.0,12.0,55.0,3.0,2.0,27.0,491.0,44.0,11.0,25.0,,2025/2026,MI-POWER
